Year,League,City
2023,NBA,Denver
2022,NBA,Bay Area
2021,NBA,Milwaukee
2020,NBA,Los Angeles
2019,NBA,Toronto
2018,NBA,Bay Area
2017,NBA,Bay Area
2016,NBA,Cleveland
2015,NBA,Bay Area
2014,NBA,San Antonio
2013,NBA,Miami
2012,NBA,Miami
2011,NBA,Dallas
2010,NBA,Los Angeles
2009,NBA,Los Angeles
2008,NBA,Boston
2007,NBA,San Antonio
2006,NBA,Miami
2005,NBA,San Antonio
2004,NBA,Detroit
2003,NBA,San Antonio
2002,NBA,Los Angeles
2001,NBA,Los Angeles
2000,NBA,Los Angeles
1999,NBA,San Antonio
1998,NBA,Chicago
1997,NBA,Chicago
1996,NBA,Chicago
1995,NBA,Houston
1994,NBA,Houston
1993,NBA,Chicago
1992,NBA,Chicago
1991,NBA,Chicago
1990,NBA,Detroit
1989,NBA,Detroit
1988,NBA,Los Angeles
1987,NBA,Los Angeles
1986,NBA,Boston
1985,NBA,Los Angeles
1984,NBA,Boston
1983,NBA,Philadelphia
1982,NBA,Los Angeles
1981,NBA,Boston
1980,NBA,Los Angeles
1979,NBA,Seattle
1978,NBA,D.C.
1977,NBA,Portland
1976,NBA,Boston
1976,ABA,New York City
1975,NBA,Bay Area
1975,ABA,Kentucky
1974,NBA,Boston
1974,ABA,New York City
1973,NBA,New York City
1973,ABA,Indiana
1972,NBA,Los Angeles
1972,ABA,Indiana
1971,NBA,Milwaukee
1971,ABA,Utah Stars
1970,NBA,New York City
1970,ABA,Indiana
1969,NBA,Boston
1969,ABA,Bay Area
1968,NBA,Boston
1968,ABA,Pittsburgh
1967,NBA,Philadelphia
1966,NBA,Boston
1965,NBA,Boston
1964,NBA,Boston
1963,NBA,Boston
1962,NBA,Boston
1961,NBA,Boston
1960,NBA,Boston
1959,NBA,Boston
1958,NBA,St. Louis
1957,NBA,Boston
1956,NBA,Philadelphia
1955,NBA,Syracuse
1954,NBA,Minnesota
1953,NBA,Minnesota
1952,NBA,Minnesota
1951,NBA,Rochester
1950,NBA,Minnesota
1949,BAA,Minnesota
1948,BAA,Baltimore
1947,BAA,Philadelphia
2023,NFL,Kansas City
2022,NFL,Los Angeles
2021,NFL,Tampa Bay
2020,NFL,Kansas City
2019,NFL,Boston
2018,NFL,Philadelphia
2017,NFL,Boston
2016,NFL,Denver
2015,NFL,Boston
2014,NFL,Seattle
2013,NFL,Baltimore
2012,NFL,New York City
2011,NFL,Green Bay
2010,NFL,New Orleans
2009,NFL,Pittsburgh
2008,NFL,New York City
2007,NFL,Indiana
2006,NFL,Pittsburgh
2005,NFL,Boston
2004,NFL,Boston
2003,NFL,Tampa Bay
2002,NFL,Boston
2001,NFL,Baltimore
2000,NFL,St. Louis
1999,NFL,Denver
1998,NFL,Denver
1997,NFL,Green Bay
1996,NFL,Dallas
1995,NFL,Bay Area
1994,NFL,Dallas
1993,NFL,Dallas
1992,NFL,D.C.
1991,NFL,New York City
1990,NFL,Bay Area
1989,NFL,Bay Area
1988,NFL,D.C.
1987,NFL,New York City
1986,NFL,Chicago
1985,NFL,Bay Area
1984,NFL,Los Angeles
1983,NFL,D.C.
1982,NFL,Bay Area
1981,NFL,Bay Area
1980,NFL,Pittsburgh
1979,NFL,Pittsburgh
1978,NFL,Dallas
1977,NFL,Bay Area
1976,NFL,Pittsburgh
1975,NFL,Pittsburgh
1974,NFL,Miami
1973,NFL,Miami
1972,NFL,Dallas
1971,NFL,Baltimore
1970,NFL,Kansas City
1969,NFL,New York City
1968,NFL,Green Bay
1967,NFL,Green Bay