Rank,District,County,Per capita income,Median household income,Median family income,Households,Population
135,Boston,Suffolk,50344,81744,95750,271950,672814
326,Worcester,Worcester,30855,56746,71265,78780,203867
341,Springfield,Hampden,23161,43308,54646,58344,155770
134,Cambridge,Middlesex,65494,112565,147492,47777,116892
201,Quincy,Norfolk,44919,82500,97361,44515,100544
295,Lowell,Middlesex,36534,75130,89761,42285,114804
337,New Bedford,Bristol,27583,50581,62189,41395,100309
335,Fall River,Bristol,28561,49613,60181,40862,93339
296,Somerville,Middlesex,36257,61811,84722,39745,79816
332,Lynn,Essex,29541,63922,75627,36280,100233
328,Brockton,Plymouth,30508,68067,79124,35092,104216
327,Malden,Middlesex,30620,64489,77946,32285,65602
173,Barnstable,Barnstable,46996,82816,105750,30765,48556
340,Lawrence,Essex,23316,47542,52283,30291,87798
269,Medford,Middlesex,39485,94298,125828,28321,60708
267,Framingham,Middlesex,39507,87137,103394,27604,72362
18,Brookline,Norfolk,83318,122356,195101,26762,62620
29,Natick,Middlesex,75343,140647,193578,25540,36627
87,Plymouth,Plymouth,57027,82470,110833,24985,60987
210,Waltham,Middlesex,44491,94063,114680,24943,64655
177,Beverly,Essex,46645,91592,119420,24400,42448
177,Weymouth,Norfolk,46645,91592,119420,24400,57437
325,Chicopee,Hampden,31086,56509,68460,23852,55636
309,Taunton,Bristol,33862,66787,85478,23159,59076
216,Haverhill,Essex,44056,83570,106692,22808,67093
297,Peabody,Essex,36180,55938,70189,22208,54200
310,Revere,Suffolk,33749,73041,84176,21647,60720
175,Richmond,Berkshire,46695,90208,123646,21346,30671
292,Billerica,Middlesex,36846,67292,91667,21235,42119
24,Newton,Middlesex,81020,164607,201924,21038,88647
288,Pittsfield,Berkshire,37356,59522,77469,19290,43890
56,Shrewsbury,Worcester,54673,88377,117147,19231,38291
84,Falmouth,Middlesex,57906,110372,142171,18943,32526
229,Methuen,Essex,42944,72884,90663,18803,52536
34,North Andover,Essex,71327,94375,111667,18628,31468
275,Attleboro,Bristol,38942,81627,99010,17918,46146
305,Leominster,Worcester,34523,84120,100343,17896,43478
205,Marlborough,Middlesex,44775,86230,108694,17147,41505
52,Chelmsford,Middlesex,60517,145552,175708,17136,36392
322,Everett,Middlesex,31599,71510,74657,17007,48368
330,Fitchburg,Worcester,30300,60466,74731,16398,41796
150,Auburn,Worcester,62772,101402,126886,16027,6595
283,Watertown,Middlesex,38159,72563,89393,16027,35171
48,Westford,Middlesex,65574,123813,149596,15678,24535
213,Melrose,Middlesex,44361,100337,115069,15621,29567
159,Townsend,Middlesex,47880,121936,132304,15498,41995
294,Westfield,Hampden,36635,73692,92373,15292,40922
266,Woburn,Middlesex,39692,68274,85333,15165,40967
339,Holyoke,Hampden,25744,45045,54321,15062,38480
289,Braintree,Norfolk,37342,64305,90318,14384,38712
106,Wilmington,Middlesex,53283,117909,143614,13808,36271
336,Chelsea,Suffolk,27627,64782,66175,13353,40025
19,Andover,Essex,83300,193279,237434,13235,36323
85,Gloucester,Essex,57613,140192,149911,13168,29814
57,Norwood,Norfolk,54645,96414,120146,13002,31256
278,West Springfield,Hampden,38318,60023,83912,12734,28814
239,Dracut,Middlesex,42008,95229,113068,12370,32356
4,Lexington,Middlesex,96170,202852,235039,12301,34235
160,North Attleborough,Bristol,47877,97967,129573,12273,30557
268,Randolph,Norfolk,39488,87869,98813,12150,34661
95,Franklin,Norfolk,55509,127608,160000,12118,33057
107,Tewksbury,Middlesex,50133,111696,131781,12025,31153
243,Northampton,Hampshire,41663,72687,105741,11949,29379
250,Dartmouth,Bristol,41307,95404,114492,11863,34054
230,Agawam,Hampden,42754,78619,104743,11785,28715
247,Milford,Worcester,41540,89332,103785,11446,30134
37,Arlington,Middlesex,69007,125701,162536,11308,46045
212,Stoughton,Norfolk,44380,94823,114453,11277,29028
13,Needham,Norfolk,87067,182813,225747,11260,31808
139,Danvers,Essex,49862,105654,122147,10964,27966
118,Wakefield,Middlesex,51645,78884,106466,10849,27041
131,Yarmouth,Barnstable,55098,107853,132007,10704,24890
105,Burlington,Middlesex,53430,123630,142403,10628,23311
217,Saugus,Essex,43997,93737,106145,10581,28521
53,Dedham,Norfolk,57489,108047,149467,10458,25308
21,Belmont,Middlesex,81383,151502,185551,10393,27056
83,Salem,Essex,58437,108896,119739,10326,44819
194,Wareham,Plymouth,45409,96672,110265,10280,23149
41,Marshfield,Plymouth,67267,122914,159380,10243,25793
51,Bedford,Middlesex,52025,109841,136099,10094,15793
44,Canton,Norfolk,66512,83992,118750,10002,24122
100,Edgartown,Middlesex,55001,105541,148162,9758,23077
219,Middleborough,Plymouth,43754,81809,92684,9727,24219
206,Stoneham,Middlesex,44665,73849,111667,9578,23077
338,Amherst,Hampshire,26341,61127,122025,9328,39416
9,Hingham,Plymouth,91263,154300,222016,9252,24061
54,Walpole,Norfolk,57066,138821,170250,9156,26413
102,Easton,Bristol,53994,112116,148924,8993,24962
22,Acton,Middlesex,81270,169335,213214,8931,23899
39,Reading,Middlesex,68526,101487,121963,8926,25483
329,Gardner,Worcester,30506,52770,64699,8841,21183
45,Milton,Norfolk,66359,115807,157660,8781,28382
55,Mansfield,Bristol,55451,122274,143500,8707,23768
251,Bridgewater,Plymouth,41188,107757,125011,8690,28337
3,Wellesley,Norfolk,97262,226250,250000,8668,29365
145,Ludlow,Hampden,49193,103498,129170,8567,21050
286,Winthrop,Suffolk,37560,95682,141198,8539,19088
158,Bourne,Barnstable,47950,82119,99913,8525,20364
101,Sutton,Worcester,54994,111610,137283,8356,9334
10,Winchester,Middlesex,90356,184844,242143,8149,22875
318,Greenfield,Franklin,32167,52211,69476,8100,17661
23,Marblehead,Essex,81072,154049,193086,8075,20397
149,Hudson,Middlesex,48829,94191,129472,8035,20032
179,Westborough,Worcester,46536,76859,97765,7980,21213
88,Sandwich,Barnstable,56895,124354,141250,7918,20369
263,Easthampton,Hampshire,40087,63098,81789,7796,16120
82,Ashland,Middlesex,59092,115959,146923,7587,18646
36,Scituate,Plymouth,70543,72904,96979,7549,19016
62,Newburyport,Essex,61696,153971,189419,7537,18282
112,Grafton,Worcester,52350,107237,134459,7468,19540
157,Amesbury,Essex,48390,87433,115414,7326,17286
86,Foxborough,Norfolk,57552,95410,127679,7289,18431
166,Somerset,Bristol,47396,96967,105638,7248,18271
128,Holden,Worcester,50674,124638,143611,7180,19659
331,Southbridge Town,Worcester,29962,50414,67975,7094,17643
67,Dennis,Barnstable,60789,127833,138500,6989,14664
26,Duxbury,Plymouth,75630,117035,173500,6873,16004
76,Fairhaven,Bristol,60851,155482,163750,6862,15911
104,Pembroke,Plymouth,53499,130015,152776,6861,18329
195,Westport,Bristol,45279,85019,102962,6782,16245
215,Swansea,Bristol,44108,101703,112873,6752,17020
12,Concord,Middlesex,87603,70000,118750,6722,18424
273,Rockland,Plymouth,38962,90315,108325,6654,17774
154,Mashpee,Barnstable,48569,83563,113231,6603,14996
47,Littleton,Middlesex,66081,172022,197784,6567,12483
16,Hopkinton,Middlesex,85400,179192,221683,6556,18501
191,Norton,Bristol,45590,109375,124310,6489,19270
256,Clinton,Worcester,40857,84938,99313,6455,15221
35,Sharon,Norfolk,71247,157928,173170,6395,18477
137,Webster,Worcester,53208,114916,144255,6384,17776
224,Northbridge,Worcester,43333,97206,116343,6364,16291
133,Millbury,Worcester,50498,95184,115398,6292,16245
203,Bellingham,Norfolk,44845,109042,122554,6250,16934
15,Sudbury,Middlesex,86008,217847,228426,6208,18912
72,Swampscott,Essex,63595,114086,143320,6093,15043
197,Abington,Plymouth,45174,113155,138555,6083,16974
188,East Longmeadow,Hampden,45658,95248,122917,6011,16386
161,South Hadley,Hampshire,47848,115890,130084,6002,18051
153,Seekonk,Bristol,48651,100041,117016,5969,15339
223,Belchertown,Hampshire,43421,101109,117121,5888,15228
49,North Reading,Middlesex,61653,124196,127358,5848,15549
74,Northborough,Worcester,62946,129780,161601,5821,15863
69,Harwich,Barnstable,60260,124755,148558,5733,13329
176,Rolwey,Essex,46676,79641,101612,5733,6234
257,Whitman,Plymouth,40764,94919,110593,5684,15116
276,Carver,Plymouth,38784,77119,90490,5666,11641
30,Longmeadow,Hampden,74126,148010,173250,5662,15863
46,Ipswich,Essex,66285,111701,144861,5573,13740
324,North Adams,Berkshire,31428,48575,65903,5540,13024
42,Holliston,Middlesex,66563,142348,166912,5485,14891
185,Raynham,Bristol,46231,96830,122533,5460,14957
28,Westwood,Norfolk,75396,171071,204657,5424,16066
103,Wilbraham,Hampden,53651,123750,140833,5365,14600
148,Kingston,Plymouth,48940,103945,133281,5321,13618
299,Palmer,Hampden,35844,70090,81753,5207,12434
265,Spencer,Worcester,39729,68559,91285,5186,11963
116,Uxbridge,Worcester,58791,125229,162083,4996,14159
142,East Bridgewater,Plymouth,49445,110842,128039,4949,14393
192,Oxford,Worcester,45471,72124,93259,4800,13399
14,Wayland,Middlesex,86947,203789,234051,4779,13859
234,Charlton,Worcester,42561,106558,115806,4776,13312
58,Hanover,Plymouth,59268,149048,165064,4744,14742
334,Athol,Worcester,28626,58275,71414,4734,11922
249,Holbrook,Norfolk,41324,89763,115168,4712,11344
43,Medway,Norfolk,66559,147257,164737,4681,13105
99,Brewster,Barnstable,50551,88110,114088,4605,10282
321,Ware,Hampshire,31641,59317,78910,4557,10067
40,Lynnfield,Essex,67303,147237,167700,4536,12874
75,Wrentham,Norfolk,62721,147201,165308,4480,12077
198,Lunenburg,Worcester,45145,101205,113596,4432,11627
70,Hull,Plymouth,63148,117120,143603,4380,10120
199,Rehoboth,Bristol,45110,115156,128533,4377,12434
11,Medfield,Norfolk,88348,196820,229076,4373,12775
155,Pepperell,Middlesex,48499,112043,127468,4361,11671
96,Maynard,Middlesex,55372,112432,147701,4269,10702
320,Dudley,Worcester,31664,75465,106940,4199,11890
167,Lakeville,Plymouth,47341,112240,126250,4162,11514
124,Plainville,Norfolk,51092,96932,114853,4144,9760
270,Acushnet,Bristol,39457,78362,101349,4091,10520
25,Nantucket,Nantucket,77003,116406,181484,4031,13795
130,Tyngsborough,Middlesex,50573,131944,149760,4022,12377
180,Boylston,Worcester,46340,70864,96672,3989,4810
308,Adams,Berkshire,34017,49691,77734,3948,8161
285,Leicester,Worcester,37653,83015,104744,3924,11077
125,Hanson,Plymouth,51071,112315,128464,3920,10601
208,Sturbridge,Worcester,44638,95917,111650,3890,9806
140,Salisbury,Essex,49861,92048,109840,3885,9152
218,Blackstone,Worcester,43891,89129,122321,3874,9188
312,Montague,Franklin,33442,65925,88706,3765,8565
262,Winchendon,Worcester,40192,69525,93286,3745,10371
2,Weston,Middlesex,107793,220815,250000,3731,11806
119,Ayer,Middlesex,51578,101688,136396,3694,8396
181,Southwick,Hampden,46337,72500,96250,3648,9292
20,Southborough,Worcester,82164,170223,204514,3579,10380
245,Monson,Hampden,41590,72305,90302,3422,8210
207,Freetown,Bristol,44663,109821,121779,3369,9165
59,Rockport,Essex,63306,118814,146156,3305,7014
78,Sterling,Worcester,59851,119000,126039,3248,8015
32,Groton,Middlesex,72451,155252,192593,3235,11254
93,Georgetown,Essex,55782,129153,144467,3223,8461
38,Norwell,Plymouth,68728,136875,207813,3180,11258
168,Upton,Worcester,47248,82984,106222,3168,7986
64,Chatham,Barnstable,65443,88750,120239,3164,6554
6,Cohasset,Norfolk,94437,156689,250000,3146,8295
120,Douglas,Worcester,51373,135250,147692,3133,8975
81,Middleton,Essex,59179,140511,159509,3122,9726
163,Westminster,Worcester,47496,107738,123611,3122,8148
246,Great Barrington,Berkshire,41587,65192,88342,3096,7169
92,Millis,Norfolk,55899,131138,143050,3078,8481
220,Templeton,Worcester,43748,97550,104250,3063,8145
182,Rutland,Worcester,46331,132000,148810,3052,8988
66,Orleans,Barnstable,63651,79250,115409,2989,6276
333,Orange,Franklin,28966,53448,76912,2982,7622
115,Norfolk,Norfolk,52240,168281,179354,2967,11531
235,Dighton,Bristol,42511,100307,111039,2943,8003
231,Halifax,Plymouth,42742,98264,107306,2930,7737
204,Dalton,Berkshire,44825,72664,96184,2907,6356
17,Boxford,Essex,83766,187813,195515,2867,8188
214,West Boylston,Worcester,44185,91780,113459,2825,7874
255,Lancaster,Worcester,40875,109963,119321,2818,8428
190,West Bridgewater,Plymouth,45627,111964,131033,2726,7622
60,Stow,Middlesex,62810,147841,155811,2646,7130
226,Merrimac,Essex,43144,88832,116908,2589,6698
27,Boxborough,Middlesex,75401,129132,174779,2567,5461
129,Hamilton,Essex,50599,116699,135488,2567,7617
7,Lincoln,Middlesex,92567,145833,169574,2566,6941
33,Newbury,Essex,71508,152356,160268,2533,6745
127,Groveland,Essex,50812,121711,139074,2532,6739
152,Granby,Hampshire,48725,106821,125686,2530,6110
68,Eastham,Barnstable,60444,118185,162177,2525,5674
254,Shirley,Middlesex,40933,111875,120565,2345,7400
171,Southampton,Hampshire,47105,110200,122379,2318,6158
272,Lee,Berkshire,39400,73750,104091,2306,5784
221,Berkley,Bristol,43686,110518,114363,2294,6724
126,Hadley,Hampshire,50856,101458,124856,2254,5293
138,Williamstown,Berkshire,49915,86780,112049,2242,7678
61,Deerfield,Franklin,48762,90638,99910,2237,5090
162,Lenox,Berkshire,47510,71117,97969,2211,5089
89,Topsfield,Essex,56556,155208,182111,2202,6530
222,Ashburnham,Worcester,43610,104074,113309,2130,6315
184,Hopedale,Worcester,46266,113300,121136,2116,6012
117,Mendon,Worcester,51840,133850,156676,2076,6212
123,Rochester,Plymouth,51107,110736,125294,2035,5676
211,Hampden,Hampden,44474,99400,109740,2016,4991
284,Barre,Worcester,38041,92206,108832,1918,5531
1,Dover,Norfolk,133500,250000,250000,1916,5894
189,Warren,Worcester,45634,85041,102999,1899,4999
277,North Brookfield,Worcester,38700,77313,88869,1883,4757
63,Provincetown,Barnstable,50384,79432,99063,1862,3582
113,Bolton,Worcester,66748,167132,191434,1853,5606
111,Conway,Franklin,52711,97956,120123,1813,3395
8,Carlisle,Middlesex,91493,216000,250000,1800,5215
65,Oak Bluffs,Dukes,51258,94545,125982,1766,5284
80,Wellfleet,Barnstable,59393,120954,160025,1736,4305
300,Sunderland,Franklin,35832,58750,97031,1666,3667
248,Avon,Norfolk,41432,127953,128750,1653,4740
31,Marion,Plymouth,73957,99456,143202,1632,5293
143,Paxton,Worcester,49419,123958,145469,1588,5005
242,Hubbardston,Worcester,41663,105938,120000,1586,4338
240,West Brookfield,Worcester,41812,83079,89301,1535,3814
5,Sherborn,Middlesex,96081,218906,242443,1515,4406
71,Nahant,Essex,62128,161076,172515,1515,3334
281,Cheshire,Berkshire,38249,69069,92981,1509,3243
232,Hatfield,Hampshire,42739,76688,102025,1490,3315
193,Sunderland,Franklin,45461,84830,124500,1478,3667
79,Sheffield,Berkshire,59482,71818,96034,1456,3318
271,Brookfield,Worcester,39401,75329,115592,1395,3435
241,Lanesborough,Berkshire,41710,75156,84531,1368,3043
108,Essex,Essex,53186,116027,125662,1343,3674
196,Gill,Franklin,45190,82278,102995,1328,1708
98,Berlin,Worcester,55248,106908,121182,1311,3326
73,Princeton,Worcester,63289,148438,150043,1298,3502
172,Ashby,Middlesex,47086,95536,105742,1297,3189
110,Wenham,Essex,53093,154375,166719,1291,5006
209,Millville,Worcester,44560,82131,104500,1275,3166
253,Northfield,Franklin,41106,83750,89483,1213,2899
141,Williamsburg,Hampshire,49695,93438,97115,1168,2623
50,Dunstable,Middlesex,60517,145552,175708,1136,3369
302,Hardwick,Worcester,34931,71429,103152,1028,2713
91,Truro,Barnstable,55990,146250,162439,1004,1987
170,Plympton,Plymouth,47235,118098,118696,989,2934
237,Becket,Berkshire,42134,60833,81563,974,2152
156,Holland,Hampden,48470,90638,110761,968,2591
307,Huntington,Hampshire,34276,68542,90446,911,2205
316,Buckland,Franklin,32279,66681,78542,886,2083
301,Bernardston,Franklin,35461,70750,82292,838,2081
279,East Brookfield,Worcester,38292,70660,78438,835,2040
183,Ashfield,Franklin,46327,72944,93889,819,1710
259,Wales,Hampden,40283,86354,100208,813,1996
202,Stockbridge,Berkshire,44851,46458,93542,811,1827
313,Hinsdale,Berkshire,32877,65911,83320,779,1866
164,Shutesbury,Franklin,47474,86339,97321,767,1788
200,Clarksburg,Berkshire,45087,105313,118623,729,1750
303,Colrain,Franklin,34785,63750,75958,726,1693
132,Brimfield,Hampden,50533,89882,121681,717,3448
291,Phillipston,Worcester,36890,88289,91298,716,1948
165,Shelburne,Franklin,47442,72236,94662,711,1436
97,Leverett,Franklin,55346,97188,103375,708,1794
146,Otis,Berkshire,49186,93316,98125,694,1460
121,Whately,Franklin,63974,88533,97102,681,1660
317,Erving,Franklin,32207,66319,93274,681,1697
244,Granville,Hampden,41652,89875,105313,657,1658
186,New Marlborough,Berkshire,45768,73571,109167,652,1573
144,Westhampton,Hampshire,49362,91652,95909,645,1567
264,Oakham,Worcester,39893,85078,89167,625,1621
122,Egremont,Berkshire,51154,79946,102308,591,1521
280,Russell,Hampden,38273,89464,98401,555,1385
290,Royalston,Worcester,36955,89417,106250,551,1461
147,Pelham,Hampshire,49128,97917,125114,543,1280
323,Chester,Hampden,31462,76283,76797,517,1400
136,Worthington,Hampshire,50236,86023,90673,513,1048
306,Charlemont,Franklin,34358,51797,66750,498,1062
151,West Stockbridge,Berkshire,48741,83571,97554,488,1164
233,Blandford,Hampden,42569,79263,104583,473,1066
261,Chesterfield,Hampshire,40202,80156,87955,460,1087
260,Petersham,Worcester,40275,77500,104306,458,1141
293,New Salem,Franklin,36675,71221,72500,452,1072
238,New Braintree,Worcester,42015,86667,98750,430,1052
311,Wendell,Franklin,33452,61182,78333,411,916
298,Cummington,Hampshire,35900,76300,105156,408,975
94,Windsor,Berkshire,55548,99063,121875,392,984
228,Goshen,Hampshire,42984,95000,107813,372,870
114,Montgomery,Hampden,52281,104500,122813,366,898
319,Savoy,Berkshire,31726,51250,65341,330,708
258,Peru,Berkshire,40332,74464,86979,325,744
274,Warwick,Franklin,38944,75179,100000,319,762
282,Sandisfield,Berkshire,38200,80179,82813,318,901
304,Florida,Berkshire,34545,74333,87813,318,783
236,Heath,Franklin,42410,97704,84688,314,728
287,Hancock,Berkshire,37505,74167,102969,296,749
252,Plainfield,Hampshire,41148,70750,78250,281,676
169,Leyden,Franklin,47244,97625,101705,259,651
225,Washington,Berkshire,43253,79375,81146,246,501
90,Tyringham,Berkshire,56308,112083,132321,207,541
77,Tolland,Hampden,60086,91771,112857,193,405
314,Rowe,Franklin,32844,70179,74167,165,434
174,Middlefield,Hampshire,46890,73636,78958,164,342
178,Hawley,Franklin,46608,70625,88750,139,379
227,New Ashford,Berkshire,43074,68500,83750,90,223
187,Mount Washington,Berkshire,45724,92917,94167,77,161